,name,pubchem_cid,chembl_id,drugbank_id,inchi_key,dataset,smiles,drugbank_withdrawn,chembl_withdrawn
10,bay-389456|bay38-9456|levitra|vardenafil|vardenafil,110634,CHEMBL1520,missing,SECKRCOLJRRGGV-UHFFFAOYSA-N,both,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0,0
11,bosulif|bosutinib|bosutinib monohydrate|sk-606|ski-606,5328940,CHEMBL288441,missing,UBPYILGKFZZVDX-UHFFFAOYSA-N,both,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0,0
12,a-65006|ag-1749|lansoprazole|opiren|prevacid 24 hr|prevacid iv|prevacid|prevacid delayed release|prevacid solutab|zoton,3883,CHEMBL480,missing,MJIHNNLFOKEZEW-UHFFFAOYSA-N,both,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0,0
13,aricept|donepezil|donepezil|e-2020,3152,CHEMBL502,missing,ADEBPBSSDYVVLD-UHFFFAOYSA-N,both,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,0
14,bs-7565|liquamar|marcoumar|phenprocoumon|phenprocumone|ro-1-4849,54680692,CHEMBL1465,missing,DQDAYGNAKTZFIW-UHFFFAOYSA-N,both,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0,0
15,berodual|berodual n|berotec|berotec 100|berotec 200|berotec [as hydrobromide]|duovent|fenoterol|fenoterol hydrobromide|th 1165a free base|th 1165a [as hydrobromide salt]|th-1165|th-1165a free base,3343,CHEMBL32800,missing,LSLYOANBFKQKPT-UHFFFAOYSA-N,both,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,0,1
16,amr 101|amr-101|amr101|eicosapentaenoic acid ethyl ester|ethyl icosapentate|icosapent ethyl|vascepa,9831415,CHEMBL2095209,missing,SSQPWTVBQMWLSZ-AAQCHOMXSA-N,both,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0,0
17,econopred|flo-pred|meticortelone|nsc-10966|omnipred|pred forte|pred fte|pred mild|prednisolone 21-acetate|prednisolone acetate|prednisolone acetate|sterane|ultracortenol,5834,CHEMBL1152,missing,LRJOMUJRLNCICJ-JZYPGELDSA-N,both,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0
18,ansamycin|lm 427|lm-427|mycobutin|mycobutin|rifabutin,6323490,CHEMBL444633,missing,ATEBXHFBFRCZMA-VXTBVIBXSA-N,both,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,0,0
19,ipratropium,missing,CHEMBL1621597,missing,OEXHQOGQTVQTAT-BHIXFJMTSA-N,both,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,0,0
21,8-methoxypsoralen|8-mop|deltasoralen|meladinine|methoxsalen|methoxsalen|nsc-45923|oxsoralen-ultra|oxsoralen|puvasoralen-8|sm-88 component methoxsalen|uvadex|xanthotoxin,4114,CHEMBL416,missing,QXKHYNVANLEOEG-UHFFFAOYSA-N,both,COc1c2occc2cc2ccc(=O)oc12,0,0
22,anspor|cefradine|cephradine|cefradine|ecosporina|nicef|sk&f d-39304|sk-d-39304|sq 11436|sq 22022 [dihydrate]|sq-11436|sq-22022|velosef '125'|velosef '250'|velosef '500'|velosef,38103,CHEMBL1604,missing,RDLPVSKMFDYCOR-UEKVPHQBSA-N,both,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0,0
23,piperidolate,4839,CHEMBL1623992,missing,KTHVBAZBLKXIHZ-UHFFFAOYSA-N,chembl,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,missing,0
24,acea|anabact|bay-5360|bayer 5360|bayer-5360|drazifon|elyzol|flagyl compak|flagyl er|flagyl-400|flagyl-s|flagyl|flagyl 375|flagyl i.v. rtu in plastic container|metro i.v.|metrocream|metrogel-vaginal|metrolotion|metrolyl|metromidol|metronidazole|metrosa|metrotop|metric 21|metrogel|neutratop|norzol|nsc-50364|nsc-69587|nuvessa|noritate|protostat|rosiced|rozex|rp 8823|rp-8823|satric|vaginyl|vandazole|zadstat|zidoval|zyomet,4173,CHEMBL137,missing,VAOCPAMSLUNLGC-UHFFFAOYSA-N,both,Cc1ncc([N+](=O)[O-])n1CCO,0,0
25,dbm|mitobronitol|myelobromol,656655,CHEMBL447629,missing,VFKZTMPDYBFSTM-KVTDHHQDSA-N,chembl,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,missing,0
26,bay 1500|baycaron|mefruside,4047,CHEMBL2105131,missing,SMNOERSLNYGGOU-UHFFFAOYSA-N,chembl,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,missing,0
27,c10aa03|pravastatin|pravachol|pravastatin,54687,CHEMBL1144,missing,TUZYXOIXSAXUGO-PZAWKZKUSA-N,both,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0,0
28,fi 6337|liserdol|mce|metergoline,28693,CHEMBL19215,missing,WZHJKEUHNJHDLS-QTGUNEKASA-N,both,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,0,0
29,avandia|avandamet|avandaryl|avandia|brl-49653|rosiglitazone|rosiglitazone|tdz-01,77999,CHEMBL121,missing,YASAKCUCGLMORW-UHFFFAOYSA-N,both,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0,0
30,dalfopristin|rp 54476|rp-54476,6323289,CHEMBL1200937,missing,SUYRLXYYZQTJHF-VMBLUXKRSA-N,both,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,0,0
31,calcium gluceptate|calcium glucoheptonate,62859,CHEMBL1237066,missing,FATUQANACHZLRT-KMRXSBRUSA-L,both,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],0,0
32,alpelisib|alpelisib|byl-719|nvp-byl719|piqray,56649450,CHEMBL2396661,missing,STUWGJZDJHPWGZ-LBPRGKRZSA-N,both,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,0,0
33,acticin|altreno|atralin|avita|nsc-122758|retin-a micro|retin-a-micro|retinoic acid|renova|retin-a|tretinoin|tretin-x|vesanoid,444795,CHEMBL38,missing,SHGAZHPCJJPHSC-YCNIQYBTSA-N,both,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0,0
34,ivacaftor|kalydeco|vx-770,16220172,CHEMBL2010601,missing,PURKAOJPTOLRMP-UHFFFAOYSA-N,both,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,0,0
35,lidanar|mesoridazine|mesoridazine|nc-123|serentil|tps-23,4078,CHEMBL1088,missing,SLVMESMUVMCQIY-UHFFFAOYSA-N,both,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,0,0
36,erivedge|gdc-0449|nsc-747691|vismodegib,24776445,CHEMBL473417,missing,BPQMGSKTAYIVFO-UHFFFAOYSA-N,both,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,0,0
37,levatol|penbutolol|penbutolol,37464,CHEMBL1290,missing,KQXKVJAGOJTNJS-HNNXBMFYSA-N,both,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,0,0
38,lodoxamide,44564,CHEMBL1201266,missing,RVGLGHVJXCETIO-UHFFFAOYSA-N,both,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,0,0
39,exuracid|tisopurine,71207,CHEMBL119423,missing,PYAOPMWCFSVFOT-UHFFFAOYSA-N,chembl,Sc1[nH]cnc2nncc1-2,missing,0
40,benicar|cs-866|olmesartan medoxomil|olmetec,130881,CHEMBL1200692,missing,UQGKUQLKSCSZGY-UHFFFAOYSA-N,chembl,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,missing,0
41,dibenzepin,9419,CHEMBL1442422,missing,QPGGEKPRGVJKQB-UHFFFAOYSA-N,both,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,0,0
42,meclizine|meclozine|meclizine|nsc-169189,4034,CHEMBL1623,missing,OCJYIGYOJCODJL-UHFFFAOYSA-N,both,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0,0
43,nsc-6365|trometamol|tromethamine|tham,6503,CHEMBL1200391,missing,LENZDBCJOHFCAS-UHFFFAOYSA-N,both,NC(CO)(CO)CO,0,0
44,"arformoterol|formoterol r,r-form",3083544,CHEMBL1363,missing,BPZSYCZIITTYBL-YJYMSZOUSA-N,both,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,0,0
45,ahr-4698|angeze 10|angeze 20|angeze 40|angeze sr 40|angeze sr 60|angitate|astrodur mr|bm 22.145|bm 22.145is 5-mnahr-4698|bm-22-145|bm-22.145|bm-22145|carmil xl|chemydur 60 xl|cibral 10|cibral 20|cibral 40|cibral xl 60|diluted isosorbide mononitrate|dynamin|dynamin xl 25|dynamin xl 50|elantan 10|elantan 20|elantan 40|elantan la 25|elantan la 50|eumon 40 xl|eumon 60 xl|imo la|is 5-mn|is-5-mn|is-5mn|isib 20|isib 40|isib 50 xl|isib 60 xl|ismo 10|ismo 20|ismo 40|ismo ret|isodur|isodur 25 xl|isodur 50 xl|isosorbide dinitrate isosorbide-5-mononitrate|isosorbide mononitrate|isotard 25 xl|isotard 40 xl|isotard 50 xl|isotard 60 xl|isotrate|imdur|ismo|ketanodur|mcr 50|modisal 40 xl|modisal 60 xl|modisal la 25|modisal la 50|monigen xl 60|monit|monit ls|monit sr|monit xl 60|mono-cedocard 10|mono-cedocard 20|mono-cedocard 40|monodur|monomax sr 40|monomax sr 60|monomax xl|monomil xl|monosorb xl 60|monoket|pertil ret|phasonit la 50|relosorb xl|slomon xl 60|tardisc xl|tenkosorb|trangina xl|vasotrate 60 sr|xismox xl 60|zemon 40 xl|zemon 60 xl|ziotan xl,27661,CHEMBL1311,missing,YWXYYJSYQOXTPL-SLPGGIOYSA-N,both,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,0,0
46,doxylamine|decapryn|doxy-sleep-aid|doxylamine|unisom,3162,CHEMBL1004,missing,HCFDWZZGGLSKEP-UHFFFAOYSA-N,both,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0,0
47,.gamma.-linolenic acid|18:3(n-6)|efamast 40|efamast 80|epoc|epogam|epogam 40|epogam 80|epogam paed|gam-o|gammolin|gamolenic acid|gamophase|kentogam|lin-gam|ndi 609|unigam,5280933,CHEMBL464982,missing,VZCCETWTMQHEPK-QNEBEIHSSA-N,both,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,0,0
48,bmy-28142|cefepime|j01de01|maxipime|renapime|vnrx-5022,5479537,CHEMBL186,missing,HVFLCNVBZFFHBT-ZKDACBOMSA-N,both,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0,0
49,dronedarone|sr-33589|sr33589,208898,CHEMBL184412,missing,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,both,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,0,0
50,levothyroxine|levothyroxine|nsc-36397,5819,CHEMBL1624,missing,XUIIKFGFIJCVMT-LBPRGKRZSA-N,both,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0,0
51,cromoglicic acid|cromolyn|r03bc01,2882,CHEMBL428880,missing,IMZMKUWMOSJXDT-UHFFFAOYSA-N,both,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,0,0
52,amerge|naratriptan,4440,CHEMBL1278,missing,AMKVXSZCKVJAGH-UHFFFAOYSA-N,both,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,0,0
53,"cp-12,574|cp-12574|fasigyn|symplotan|tinidazole|tindamax|trimonase",5479,CHEMBL1220,missing,HJLSLZFTEKNLFI-UHFFFAOYSA-N,both,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0,0
54,anturan|anturane|sulfinpyrazone|sulphinpyrazone|sulfinpyrazone,5342,CHEMBL832,missing,MBGGBVCUIVRRBF-UHFFFAOYSA-N,both,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0,0
55,flutemetamol|[3h]-flutemetamol,10107393,CHEMBL579205,missing,VVECGOCJFKTUAX-UHFFFAOYSA-N,chembl,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,missing,0
56,chlorpheniramine d-form|dexchlorpheniramine,33036,CHEMBL1201353,missing,SOYKEARSMXGVTM-HNNXBMFYSA-N,chembl,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,missing,0
57,rimiterol,431097,CHEMBL88055,missing,IYMMESGOJVNCKV-UHFFFAOYSA-N,chembl,Oc1ccc(C(O)C2CCCCN2)cc1O,missing,0
58,dextromethorphan|dextromethorphan|dimetane-dx,5360696,CHEMBL52440,missing,MKXZASYAUGDDCJ-NJAFHUGGSA-N,both,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,0
59,"disoprofol|diprivan|disoprivan|ici 35,868|ici 35-868|ici-35868|ici35,868|nsc-5105|propofol|rapinovet",4943,CHEMBL526,missing,OLBCVFGFOZPWHH-UHFFFAOYSA-N,both,CC(C)c1cccc(C(C)C)c1O,0,0
60,alverine,3678,CHEMBL253371,missing,ZPFXAOWNKLFJDN-UHFFFAOYSA-N,both,CCN(CCCc1ccccc1)CCCc1ccccc1,0,0
61,,452192,CHEMBL2010412,missing,BCBIBQWDFMQRSJ-UHFFFAOYSA-O,chembl,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1,missing,0
62,42-548|an-448|mazindol|mazindol civ|mazanor|sah-42548|sanorex|teronac,4020,CHEMBL781,missing,ZPXSCAKFGYXMGA-UHFFFAOYSA-N,both,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,0,0
63,bw 759u|bw-759u|cymevene|cymevene|cytovene|ganciclovir|ganzyk-rtu|rs-21592|valganciclovir hydrochloride impurity a|virgan|vitrasert|zirgan,3454,CHEMBL182,missing,IRSCQMHQWWYFCW-UHFFFAOYSA-N,both,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,0,0
64,alavert|bay76-2211|children's claritin|claritin hives relief|claritin hives relief reditab|claritin reditabs|clarityn|clarityn rapide|clarityne|claritin|claritin-d|hay-rite|loratadine|loratadine redidose|roletra|sch 29851|sch-29851,3957,CHEMBL998,missing,JCCNYMKQOSZNPW-UHFFFAOYSA-N,both,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0,0
65,molindone|moban|molindone,23897,CHEMBL460,missing,KLPWJLBORRMFGK-UHFFFAOYSA-N,both,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,0,0
66,"emverm|mebendazole|mebendazole polymorph c|mebendazole|mebenvet|nsc-184849|ovex|r 17,635|r-17635|telmin|telmintic|vermox",4030,CHEMBL685,missing,OPXLLQIJSORQAM-UHFFFAOYSA-N,both,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,0,0
67,bayer 1420|epontol|fba 1420|propanidid|th-2180|wh 5668,15004,CHEMBL2105345,missing,KEJXLQUPYHWCNM-UHFFFAOYSA-N,chembl,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,missing,1
68,aleve|arthrosin 250|arthrosin 250 ec|arthrosin 500|arthrosin 500 ec|aleve|anaprox|condrotec|ec-naprosyn|equiproxen|feminax ultra|grenoxal|kenosyn|laraflex|napratec op|naprosyn 375|naprosyn ec|naproxen|nycopren|naprelan|naprosyn|pn400 component naproxen|pranoxen continus|prosaid|rheuflex 250|rheuflex 500|rimoxyn|rs-3540|stirlescent|timpron|timpron 250 ec|timpron 500 ec|valrox|vimovo,156391,CHEMBL154,missing,CMWTZPSULFXXJA-VIFPVBQESA-N,both,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0,0
69,"anhydrous citric acid|citric acid|citric acid hydrate|citric acid, anhydrous|citric acid|e-330|e330|fema no. 2306|ins no.330|ins-330|nsc-112226|nsc-30279|nsc-626579|urologic g",311,CHEMBL1261,missing,KRKNYBCHXYNGOX-UHFFFAOYSA-N,both,O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0
70,ids-nl-007|levorphanol|levorphanol|ro 1-5431,5359272,CHEMBL592,missing,JAQUASYNZVUNQP-USXIJHARSA-N,both,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,0,0
71,acenocoumarin|acenocoumarol|nicoumalone|sinthrome,54676537,CHEMBL397420,missing,VABCILAOYCMVPS-UHFFFAOYSA-N,both,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0,0
72,acova|argatroban|argatroban hydrate|argatroban in dextrose|argatroban in sodium chloride|argatroban monohydrate|dk-7419|gn-1600|gn1600|mci-9038|md-805,92722,CHEMBL1166,missing,KXNPVXPOPUZYGB-IOVMHBDKSA-N,both,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,0,0
73,hydrocortisone valerate|westcort,5282494,CHEMBL1200562,missing,FZCHYNWYXKICIO-FZNHGJLXSA-N,both,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0
74,la-6023|metformin|metformin,4091,CHEMBL1431,missing,XZWYZXLIPXDOLR-UHFFFAOYSA-N,both,CN(C)C(=N)NC(=N)N,0,0
75,amoproxan|cerm 730,31473,CHEMBL2104537,missing,YOKPRDAUBGOISU-UHFFFAOYSA-N,chembl,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,missing,1
76,abboflox|brl 2039|brl-2039|floxacillin|fluclomix-250|fluclomix-500|flucloxacillin|flucloxacillin sodium|flucloxin|floxapen|galfloxin|ladropen|rimaflox|stafoxil|staphlipen|zoxin 250|zoxin 500,21319,CHEMBL222645,missing,UIOFUWFRIANQPC-JKIFEVAISA-N,both,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0,0
77,amidate|etomidate,667484,CHEMBL681,missing,NPUKDXXFDDZOKR-LLVKDONJSA-N,both,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0,0
78,abemaciclib|abemaciclib|ly-2835219|ly2835219|verzenio|verzenios,46220502,CHEMBL3301610,missing,UZWDCWONPYILKI-UHFFFAOYSA-N,both,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0,0
79,ru 15060|surgam 200|surgam 300|surgam sa|tiaprofenic acid|tiaprofenic acid,5468,CHEMBL365795,missing,GUHPRPJDBZHYCJ-UHFFFAOYSA-N,both,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,0,0
80,gppe susp fte|guanimycin|sulfaguanidine|sulphaguanidine,5324,CHEMBL338802,missing,BRBKOPJOKNSWSG-UHFFFAOYSA-N,chembl,NC(N)=NS(=O)(=O)c1ccc(N)cc1,missing,0
81,midazolam|midazolam civ|nayzilam|usl-261|usl261,4192,CHEMBL655,missing,DDLIGBOFAVUZHB-UHFFFAOYSA-N,both,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,0
82,ergometrine,443884,CHEMBL119443,missing,WVVSZNPYNCNODU-XTQGRXLLSA-N,both,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0,0
83,ammonium lactate|bms-186091|e328|lac-hydrin,62358,CHEMBL1200747,missing,RZOBLYBZQXQGFY-UHFFFAOYSA-N,both,CC(O)C(=O)O.N,0,0
84,vinyl chloride,6338,CHEMBL2311071,missing,BZHJMEDXRYGGRV-UHFFFAOYSA-N,chembl,C=CCl,missing,1
85,nsc-136630|papaverine|papaverine,4680,CHEMBL19224,missing,XQYZDYMELSJDRZ-UHFFFAOYSA-N,both,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0,0
86,trimethobenzamide,5577,CHEMBL1201256,missing,FEZBIKUBAYAZIU-UHFFFAOYSA-N,both,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,0,0
87,ccrg-81045|m&b 39831|m&b-39831|m-39831|nsc-362856|sch 52365|sch-52365|temodal|temomedac|temozolomide|temodar,5394,CHEMBL810,missing,BPEGJWRSRHCHSN-UHFFFAOYSA-N,both,Cn1nnc2c(C(N)=O)ncn2c1=O,0,0
88,elimite|lyclear|lythrin|permethrin,40326,CHEMBL1525,missing,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,both,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0,0
90,aciphex|e-3810 (ppi)|e3810|ly-307640|ly307640|rabeprazole|rabeprazole,5029,CHEMBL1219,missing,YREYEVIYCVEVJK-UHFFFAOYSA-N,both,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,0,0
91,c08ca02|cabren|cardioplen xl|felodipine|felogen xl|felotens xl|folpik xl|h 154/82|h-154/82|keloc sr|neofel xl|parmid xl|pinefeld xl|preslow|plendil|vascalpha,3333,CHEMBL1480,missing,RZTAMFZIAATZDJ-UHFFFAOYSA-N,both,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0,0
92,phenmetrazine|phenmetrazine|preludin,4762,CHEMBL1201208,missing,OOBHFESNSZDWIU-UHFFFAOYSA-N,both,CC1NCCOC1c1ccccc1,0,0
93,a-41-304|a-41304|desoximetasone|hoe 304|hoe-304|j83.644c|r 2113|r-2113|stiedex|stiedex lp|stiedex lpn|topicort lp|topicort,5311067,CHEMBL1766,missing,VWVSBHGCDBMOOT-IIEHVVJPSA-N,both,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,0,0
94,chrysazin|danthron|dantron|danthron|dorbane|istizin,2950,CHEMBL53418,missing,QBPFLULOKWLNNW-UHFFFAOYSA-N,both,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,1
95,"cp-526,555|cp-526555|chantix|varenicline",170361,CHEMBL1396,missing,JQSHBVHOMNKWFT-UHFFFAOYSA-N,both,c1cnc2cc3c(cc2n1)C1CNCC3C1,0,0
97,difenidol|difenidol hydrochloride|diphenidol|diphenidol|sk&f 478|sk&f-478|sk-478|vontrol|vontrol,3055,CHEMBL936,missing,OGAKLTJNUQRZJU-UHFFFAOYSA-N,both,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,1,0
98,metaproterenol|orciprenaline,4086,CHEMBL776,missing,LMOINURANNBYCM-UHFFFAOYSA-N,both,CC(C)NCC(O)c1cc(O)cc(O)c1,0,0
