,chembl_id,chembl_withdrawn,dataset,drugbank_id,drugbank_withdrawn,inchi_key,name,pubchem_cid,smiles,withdrawn_chembl_+,withdrawn_drugbank_+,withdrawn_label,CHEMBLID,Toxicity type
70,CHEMBL397420,0,both,missing,0,VABCILAOYCMVPS-UHFFFAOYSA-N,acenocoumarin|acenocoumarol|nicoumalone|sinthrome,54676537,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0.0,0.0,0,,Safe
1710,CHEMBL1697843,0,chembl,missing,missing,IYJMSDVSVHDVGT-PEQKVOOWSA-N,lanitop|medigoxin|methyldigoxin|metildigoxin,443946,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,0.0,0.0,0,,Safe
722,CHEMBL773,0,both,missing,0,DHMQDGOQFOQNFH-UHFFFAOYSA-N,aminoacetic acid|fema no. 3287|glycine|glycocoll|glycine|glycolixir|nsc-25936,750,NCC(=O)O,0.0,0.0,0,,Safe
2235,CHEMBL2135460,missing,drugbank,DB02638,0,BENFXAYNYRLAIU-QSVFAHTRSA-N,Terlipressin,72081.0,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0.0,0.0,0,,Safe
1553,CHEMBL1950576,1,both,missing,1,ASXBYYWOLISCLQ-HZYVHMACSA-N,dihydrostreptomycin|dihydrostreptomycin,439369,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,1.0,1.0,1,CHEMBL1950576,toxic_neuro
1733,CHEMBL634,0,both,missing,0,IDBPHNDTYPBSNI-UHFFFAOYSA-N,alfentanil|alfentanil|ids-na-014|r-39209|r-39209-,51263,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.0,0.0,0,,Safe
1835,CHEMBL444186,0,chembl,missing,missing,BMKDZUISNHGIBY-UHFFFAOYSA-N,ici 59118|icrf 159|razoxane,30623,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0.0,0.0,0,,Safe
502,CHEMBL277062,0,both,missing,0,VMIYHDSEFNYJSL-UHFFFAOYSA-N,bromazepam|bromazepam civ|lexotan|lectopam|nsc-140669|ro 5-3350|ro-5-3350,2441,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0.0,0.0,0,,Safe
898,CHEMBL2142890,0,chembl,missing,missing,RFMMMVDNIPUKGG-UHFFFAOYSA-N,,185,CC(=O)NC(CCC(=O)O)C(=O)O,0.0,0.0,0,,Safe
1259,CHEMBL1471,0,both,missing,0,ATALOFNDEOCMKK-OITMNORJSA-N,"aprepitant|cinvanti|emend|l-754,030|mk-0869|mk-869",6918365,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.0,0.0,0,,Safe
841,CHEMBL1201284,0,both,missing,0,VDHAWDNDOKGFTD-MRXNPFEDSA-N,amg 073|amg-073|amg073|cinacalcet|krn-1493|krn1493|sensipar,156419,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.0,0.0,0,,Safe
2211,CHEMBL1370561,missing,drugbank,DB01223,0,FQPFAHBPWDRTLU-UHFFFAOYSA-N,Aminophylline,9433.0,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,0.0,0.0,0,,Safe
1002,CHEMBL1201798,0,both,missing,0,ZNSIZMQNQCNRBW-UHFFFAOYSA-N,renagel|renvela|sevelamer,3085017,C=CCN.ClCC1CO1,0.0,0.0,0,,Safe
2018,CHEMBL1229211,0,both,missing,0,RHWKPHLQXYSBKR-BMIGLBTASA-N,dolutegravir|gsk 1349572|gsk-1349572|gsk1349572|s-349572|tivicay,54726191,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,0.0,0.0,0,,Safe
1632,CHEMBL822,0,both,missing,0,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,lamisil at|lamisil|sf 86-327|sf-86-327|tdt-067|terbinafine|terbinafine hydrochloride,1549008,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,0.0,0.0,0,,Safe
478,CHEMBL566534,0,both,missing,0,SXYIRMFQILZOAM-HVNFFKDJSA-N,artemether|artemetheri|dihydroartemisinin impurity g|nsc-665970|sm 224,68911,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,0.0,0.0,0,,Safe
1559,CHEMBL829,0,both,missing,0,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,alimemazine|methylpromazine|methylpromazine|temaril|trimeprazine,5574,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,0.0,0.0,0,,Safe
2370,CHEMBL1248,missing,drugbank,DB09398,0,KRHYYFGTRYWZRS-BJUDXGSMSA-M,Fluoride ion F-18,23690531.0,[18F-],0.0,0.0,0,,Safe
2714,CHEMBL460499,,withdrawn,missing,,AOCCBINRVIKJHY-UHFFFAOYSA-N,Carmofur,2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,,,1,CHEMBL460499,toxic_neuro
1826,CHEMBL71595,0,both,missing,0,MHAJPDPJQMAIIY-UHFFFAOYSA-N,a-101|crystacide|eskata|hioxyl|hydrogen peroxide|hydrogen peroxide|nsc-19892|oxydol|peroxyl,784,OO,0.0,0.0,0,,Safe
104,CHEMBL852,0,both,missing,0,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,alanine nitrogen mustard|alkeran|aikeran|cb 3025|cb-3025|l-sarcolysin|melfalan|melphalan|nci-c04853|nsc-241286|nsc-8806|phenylalanine mustard|sk 15673|sk-15673,460612,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.0,0.0,0,,Safe
1038,CHEMBL1087,0,both,missing,0,INWLQCZOYSRPNW-UHFFFAOYSA-N,apf-135|carbocaine|mepivacaine|mepivacaine|polocaine|polocaine-mpf,4062,Cc1cccc(C)c1NC(=O)C1CCCCN1C,0.0,0.0,0,,Safe
723,CHEMBL72,0,both,missing,0,HCYAFALTSJYZDH-UHFFFAOYSA-N,desipramine|desipramine,2995,CNCCCN1c2ccccc2CCc2ccccc21,0.0,0.0,0,,Safe
2516,CHEMBL3707334,missing,drugbank,DB13235,0,PEYVWSJAZONVQK-UHFFFAOYSA-N,Perboric acid,114931.0,OOB=O,0.0,0.0,0,,Safe
1003,CHEMBL296419,1,both,missing,1,GXDALQBWZGODGZ-UHFFFAOYSA-N,"astemizole|gnf-pf-2461|hismanal|pollon-eze|r 43,512",2247,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1.0,1.0,1,CHEMBL296419,toxic_cardio
1462,CHEMBL1497,0,chembl,missing,missing,SNHRLVCMMWUAJD-SUYDQAKGSA-N,audavate|audavate rd|betacap|betameth val in coal tar|betamethasone 17-valerate|betamethasone valerate|betesil|betnovate rd|betnovate-c|betnovate-n|bettamousse|bextasol|beta-val|betaderm|betatrex|dermabet|fucibet|luxiq|valisone|valnac|xemacort,16533,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.0,0.0,0,,Safe
1858,CHEMBL1271,0,both,missing,0,XSBSKEQEUFOSDD-UHFFFAOYSA-N,ansolysen|pentolinium,5850,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.0,0.0,0,,Safe
776,CHEMBL1627367,0,chembl,missing,missing,KDLLNMRYZGUVMA-ZXXIGWHRSA-N,fluoroestradiol,10401972,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O,0.0,0.0,0,,Safe
676,CHEMBL1868702,0,both,missing,0,BJJXHLWLUDYTGC-ANULTFPQSA-N,a 46 745|dimetriose|gestrinone|r 2323|ru 2323,27812,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0.0,0.0,0,,Safe
2365,CHEMBL3306201,missing,drugbank,DB09333,1,YQNFBOJPTAXAKV-UHFFFAOYSA-N,Iopodic acid,5241.0,CN(C)C=NC1=C(I)C=C(I)C(CCC(O)=O)=C1I,1.0,1.0,0,,Safe
1047,CHEMBL85,0,both,missing,0,RAPZEAPATHNIPO-UHFFFAOYSA-N,"ly-03004|ly03004|n05ax08|perseris|perseris kit|r 64 766|r-64,766|r-64-766|r-64766|rcn-3028|rcn3028|risperdal consta|risperdal quicklet|risperidone|risperdal|risperdal consta long acting|risperdal m|risperdal m-tab",5073,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.0,0.0,0,,Safe
2691,,,withdrawn,missing,,RQWQIVXLPCFXCO-OWOJBTEDSA-N,Dihydroxymethylfuratrizine,6414792,C1=C(OC(=C1)[N+](=O)[O-])C=CC2=CN=C(N=N2)N(CO)CO,,,1,,toxic_cardio
1000,CHEMBL1197051,0,chembl,missing,missing,BMUKKTUHUDJSNZ-UHFFFAOYSA-N,isoxsuprine,3783,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0.0,0.0,0,,Safe
1712,CHEMBL1685,0,both,missing,0,VTMVHDZWSFQSQP-VBNZEHGJSA-N,"dezocine|dalgan|wy-16,225|wy-16225",3033053,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,0.0,0.0,0,,Safe
883,CHEMBL3187723,0,both,missing,0,ACWZRVQXLIRSDF-UHFFFAOYSA-N,arry 438162|arry-162|arry-438162|binimetinib|binimetinib|mek-162|mek162|mektovi|nvp-mek162,10288191,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,0.0,0.0,0,,Safe
217,CHEMBL654,0,both,missing,0,RONZAEMNMFQXRA-UHFFFAOYSA-N,mirtazapine|org 3770|org-3770|remeron soltab|remeron|zispin,4205,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.0,0.0,0,,Safe
2595,CHEMBL3188084,missing,drugbank,DB14199,0,DHVLDKHFGIVEIP-UHFFFAOYSA-N,Bromothalonil,61948.0,BrCC(Br)(CCC#N)C#N,0.0,0.0,0,,Safe
2241,CHEMBL1232653,missing,drugbank,DB03147,0,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Flavin adenine dinucleotide,643975.0,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,0.0,0.0,0,,Safe
1951,CHEMBL277522,0,both,missing,0,ZPAKPRAICRBAOD-UHFFFAOYSA-N,"cinopal|cl 82,204|fenbufen|fenbuzip 300|fenbuzip 450|lederfen 450|lederfen cp|lederfen f",3335,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0.0,0.0,0,,Safe
700,CHEMBL609,0,both,missing,0,VILCJCGEZXAXTO-UHFFFAOYSA-N,nsc-443|syprine|trientine|trientine,5565,NCCNCCNCCN,0.0,0.0,0,,Safe
2716,CHEMBL1454946,,withdrawn,missing,,CPEUVMUXAHMANV-UHFFFAOYSA-N,Flubendazole,35802,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,,,1,CHEMBL1454946,toxic_teratogen
320,CHEMBL1595,0,both,missing,0,RBOXVHNMENFORY-DNJOTXNNSA-N,dihydrocodeine|dihydrocodeine|ids-nd-008(sect.2)|nsc-231319,5284543,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.0,0.0,0,,Safe
2189,CHEMBL407135,missing,drugbank,DB00803,0,YKQOSKADJPQZHB-BRLOSWAASA-N,Colistin,131704173.0,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,0.0,0.0,0,,Safe
399,CHEMBL846,0,both,missing,0,GMRQFYUYWCNGIN-NKMMMXOESA-N,"1alpha,25-dihydroxycholecalciferol|1alpha,25-dihydroxyvitamin d3|calcitriol|calcijex|dihydroxycholecalciferol|dihydroxyvitamin d 3|ro 21-5535|ro-21-5535|ro-215535|rocaltrol|silkis|topitriol|vectical",5280453,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,0.0,0.0,0,,Safe
2585,CHEMBL293492,missing,drugbank,DB14184,0,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,Cinnamaldehyde,637511.0,O=C\C=C\C1=CC=CC=C1,0.0,0.0,0,,Safe
2382,CHEMBL1200673,missing,drugbank,DB09461,0,FHNFHKCVQCLJFQ-AHCXROLUSA-N,Xenon Xe-127,166973.0,[127Xe],0.0,0.0,0,,Safe
259,CHEMBL1082,0,both,missing,0,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,amix 125|amix 250|amix 500|amopen|amoram|amoxicillin|amoxicillin hydrate|amoxicillin pediatric|amoxicillin trihydrate|amoxicilline|amoxident 250|amoxident 500|amoxil fiztab|amoxil sf|amoxycillin|amoxymed|amrit|amoxi-inject|amoxi-tabs|amoxicilline|amoxil|amoxycillin|aquacil|brl 2333|brl-2333|biomox|dedoxil|dispermox|flemoxin solutab|galenamox|larotid|moxatag|nsc-277174|polymox|respillin|robamox|sumox|trimox|utimox|vetremox|wymox|zoxycil 250|zoxycil 500,33613,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.0,0.0,0,,Safe
1271,CHEMBL46058,0,both,missing,0,HRYZWHHZPQKTII-UHFFFAOYSA-N,chloroethane|ethyl chloride|ethyl chloride,6337,CCCl,0.0,0.0,0,,Safe
10,CHEMBL1520,0,both,missing,0,SECKRCOLJRRGGV-UHFFFAOYSA-N,bay-389456|bay38-9456|levitra|vardenafil|vardenafil,110634,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0.0,0.0,0,,Safe
1396,CHEMBL1201352,1,both,missing,1,HTIKWNNIPGXLGM-YLINKJIISA-N,rapacuronium,5311399,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,1.0,1.0,1,CHEMBL1201352,toxic_respiratory
1679,CHEMBL27,0,both,missing,0,AQHHHDLHHXJYJD-UHFFFAOYSA-N,ay-64043-|inderal|inderide-40/25|inderide-80/25|propranolol|propranolol,4946,CC(C)NCC(O)COc1cccc2ccccc12,0.0,0.0,0,,Safe
427,CHEMBL1354,0,both,missing,0,VMHLLURERBWHNL-UHFFFAOYSA-M,"e-262(i)|e262|fema no. 3024|ins no.262(i)|ins-262(i)|nsc-77459|sodium acetate|sodium acetate anhydrous|sodium acetate hydrate|sodium acetate trihydrate|sodium acetate|sodium acetate, anhydrous",31372,CC(=O)[O-].[Na+],0.0,0.0,0,,Safe
1602,CHEMBL24147,0,both,missing,0,GHMLBKRAJCXXBS-UHFFFAOYSA-N,d.d.d.|resorcin|resorcinol|resorcinol|tilloderm,5054,Oc1cccc(O)c1,0.0,0.0,0,,Safe
1295,CHEMBL850,1,both,missing,1,DZZWHBIBMUVIIW-DTORHVGOSA-N,at-4140|ci-978|sparfloxacin|spara|zagam,60464,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,1.0,1.0,1,CHEMBL850,toxic_cardio
2450,CHEMBL42403,missing,drugbank,DB11326,0,KGBXLFKZBHKPEV-UHFFFAOYSA-N,Boric acid,7628.0,OB(O)O,0.0,0.0,1,CHEMBL42403,toxic_systemic
1455,CHEMBL1550,0,both,missing,0,MBWXNTAXLNYFJB-NKFFZRIASA-N,aquamephyton|kanavit|konakion mm|konakion mm paed|konakion|mephyton|neokay|nsc-270681|orakay|phylloquinone e-form|phytomenadione|phytonadione|phylloquinone|phytomenadione|phytonadione|vitamin k1|vitamin k 1|vitamin k1,5284607,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,0.0,0.0,0,,Safe
2652,CHEMBL1200503,,withdrawn,missing,,NOJMTMIRQRDZMT-GSPXQYRGSA-N,Bromocriptine Mesylate,31100,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,,,1,CHEMBL1200503,toxic_neuro
1934,CHEMBL455,0,both,missing,0,SKIVFJLNDNKQPD-UHFFFAOYSA-N,bleph-10|bleph-30|cetamide|fml-s|klaron|nsc-63871|ocusulf-10|ocusulf-30|sulf-10|sulf-15|sulfacetamide|sulfacetamide (triple sulfa)|sulphacetamide|sulfacel-15|sulfacetamide|sulfair-15|sulster|sulten-10,5320,CC(=O)NS(=O)(=O)c1ccc(N)cc1,0.0,0.0,0,,Safe
1856,CHEMBL2096637,0,chembl,missing,missing,VXSIXFKKSNGRRO-MXOVTSAMSA-N,pyrethrins|pyrethrins,60202781,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O.C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0.0,0.0,0,,Safe
619,CHEMBL475534,0,both,missing,0,PVHUJELLJLJGLN-UHFFFAOYSA-N,bay e 5009|bay-e-5009|baypress|nitrendipine,4507,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0.0,0.0,0,,Safe
1093,CHEMBL1200866,0,chembl,missing,missing,WTWWXOGTJWMJHI-UHFFFAOYSA-N,imagent|perflubron|perfluorooctylbromide|pfob,9873,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0.0,0.0,0,,Safe
2451,CHEMBL549473,missing,drugbank,DB11327,0,ZHDBTKPXEJDTTQ-UHFFFAOYSA-N,Dipyrithione,3109.0,[O-][N+]1=CC=CC=C1SSC1=CC=CC=[N+]1[O-],0.0,0.0,0,,Safe
2110,CHEMBL1201199,missing,drugbank,DB00007,0,GFIJNRVAKGFPGQ-LIJARHBVSA-N,Leuprolide,657181.0,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,0.0,0.0,0,,Safe
1540,CHEMBL135,0,both,missing,0,VOXZDWNPVJITMN-ZBRFXRBCSA-N,adgyn estro|agofollin|alfatradiol|alora|aquagen|bedol|climara|climara pro|dermestril 100|dermestril 25|dermestril 50|dermestril septem 25|dermestril septem 50|dermestril septem 75|destradiol|dihydrotheelin|dihydroxyestrin|divigel|depo-estradiol|e-cypionate|elestrin|elleste solo|elleste solo mx 40|elleste solo mx 80|esclim|estraderm mx 100|estraderm mx 25|estraderm mx 50|estraderm mx 75|estraderm tts 100|estraderm tts 25|estraderm tts 50|estradiol|estradiol hemihydrate|estrasorb|evamist|evorel 100|evorel 25|evorel 50|evorel 75|elestrim|estrace|estraderm|estradiol|estradiol hemihydrate|estrasorb|estring|estrogel|fematrix 40|fematrix 80|femseven 100|femseven 50|femseven 75|fempatch|gynergon|gynodiol|gynoestryl|gvnodiol|gynogen|imvexxy|innofem|menorest 37.5|menorest 50|menorest 75|menoring 50|minivelle|menostar|nsc-20293|nsc-9895|oestradiol|oestradiol|progynova ts|sandrena|vivelle-dot|vagifem|vagifem 18|vagifem 8|vivelle|wc-3011|wc3011|zumenon,5757,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0,0.0,0,,Safe
2179,CHEMBL1201388,missing,drugbank,DB00687,0,AAXVEMMRQDVLJB-BULBTXNYSA-N,Fludrocortisone,31378.0,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0.0,0.0,0,,Safe
298,CHEMBL1095283,0,chembl,missing,missing,NZDASSHFKWDBBU-KVMCETHSSA-N,carfecillin,33672,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.0,0.0,0,,Safe
914,CHEMBL86304,0,both,missing,0,YHXISWVBGDMDLQ-UHFFFAOYSA-N,gnf-pf-695|manerix|moclobemide|ro 11-1163/000|ro-111163000,4235,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,0.0,0.0,0,,Safe
764,CHEMBL545,0,both,missing,0,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"ablysinol|alcohol|alcohol determination--alcohol|alcohol, diluted|alcohol, rubbing|anhydrous ethanol|alcohol|alcohol, diluted|alcohol, rubbing|b3324|e1510|ethanol|ethyl alcohol|ethanol|ethyl alcohol|fema no. 2419|methylated mineral|nci-c03134|nsc-85228|pm-6193-200|spirigel|surg|vodka",702,CCO,0.0,0.0,0,,Safe
1761,CHEMBL2043437,0,both,missing,0,SFNSLLSYNZWZQG-VQIMIIECSA-N,glasdegib|glasdegib|pf-04449913|pf-4449913,25166913,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,0.0,0.0,0,,Safe
501,CHEMBL2105745,0,both,missing,0,ZSDBFLMJVAGKOU-UHFFFAOYSA-N,glycerol phenylbutyrate|hpn-100|hpn100|ravicti,10482134,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,0.0,0.0,0,,Safe
