,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
370,mesothelioma,CHEMBL1908360,2,Mesothelioma,D008654
371,neoplasm,CHEMBL1908360,4,Neoplasms,D009369
372,non-small cell lung carcinoma,CHEMBL1908360,2,"Carcinoma, Non-Small-Cell Lung",D002289
373,sarcoma,CHEMBL1908360,2,Sarcoma,D012509
374,small cell lung carcinoma,CHEMBL1908360,2,Small Cell Lung Carcinoma,D055752
375,breast carcinoma,CHEMBL1200374,4,Breast Neoplasms,D001943
380,Hypercholesterolemia,CHEMBL1138,4,Hypercholesterolemia,D006937
381,movement disorder,CHEMBL902,2,Movement Disorders,D009069
382,Peptic ulcer,CHEMBL902,4,Peptic Ulcer,D010437
383,gout,CHEMBL1164729,4,Gout,D006073
384,cardiovascular disease,CHEMBL672,4,Cardiovascular Diseases,D002318
385,metabolic syndrome,CHEMBL672,2,Metabolic Syndrome,D024821
386,cancer,CHEMBL596,4,Neoplasms,D009369
388,pain,CHEMBL596,4,Pain,D010146
389,non-small cell lung carcinoma,CHEMBL710,2,"Carcinoma, Non-Small-Cell Lung",D002289
390,prostate carcinoma,CHEMBL710,4,Prostatic Neoplasms,D011471
391,insomnia,CHEMBL407,1,Sleep Initiation and Maintenance Disorders,D007319
392,colorectal adenocarcinoma,CHEMBL185,3,Colorectal Neoplasms,D015179
393,eye inflammation,CHEMBL563,4,Eye Diseases,D005128
394,asthma,CHEMBL1676,4,Asthma,D001249
395,asthma,CHEMBL1473,4,Asthma,D001249
396,chronic obstructive pulmonary disease,CHEMBL1473,4,"Pulmonary Disease, Chronic Obstructive",D029424
397,eosinophilic esophagitis,CHEMBL1473,3,Eosinophilic Esophagitis,D057765
400,breast carcinoma,CHEMBL1358,4,Breast Neoplasms,D001943
401,congestive heart failure,CHEMBL35,4,Heart Failure,D006333
402,lung disease,CHEMBL35,3,Lung Diseases,D008171
403,pulmonary embolism,CHEMBL35,3,Pulmonary Embolism,D011655
404,insomnia,CHEMBL940,3,Sleep Initiation and Maintenance Disorders,D007319
405,pain,CHEMBL940,3,Pain,D010146
406,restless legs syndrome,CHEMBL1628502,4,Restless Legs Syndrome,D012148
407,non-small cell lung carcinoma,CHEMBL939,4,"Carcinoma, Non-Small-Cell Lung",D002289
408,upper aerodigestive tract neoplasm,CHEMBL939,3,Head and Neck Neoplasms,D006258
412,cancer,CHEMBL457,1,Neoplasms,D009369
413,type II diabetes mellitus,CHEMBL1481,4,"Diabetes Mellitus, Type 2",D003924
414,diabetes mellitus,CHEMBL1073,4,Diabetes Mellitus,D003920
415,type II diabetes mellitus,CHEMBL1073,4,"Diabetes Mellitus, Type 2",D003924
417,type I diabetes mellitus,CHEMBL472,2,"Diabetes Mellitus, Type 1",D003922
418,type II diabetes mellitus,CHEMBL472,4,"Diabetes Mellitus, Type 2",D003924
423,Chemotherapy-induced nausea and vomiting,CHEMBL289469,4,Nausea,D009325
425,bipolar disorder,CHEMBL54,3,Bipolar Disorder,D001714
426,psychosis,CHEMBL54,4,Psychotic Disorders,D011618
432,hypertension,CHEMBL435,4,Hypertension,D006973
434,asthma,CHEMBL389621,4,Asthma,D001249
435,eye inflammation,CHEMBL1549,4,Eye Diseases,D005128
437,cardiovascular disease,CHEMBL1763,4,Cardiovascular Diseases,D002318
438,premature birth,CHEMBL1200848,4,Premature Birth,D047928
439,leukemia,CHEMBL467,3,Leukemia,D007938
440,melanoma,CHEMBL467,4,Melanoma,D008545
441,Sickle cell anemia,CHEMBL467,3,"Anemia, Sickle Cell",D000755
442,liver disease,CHEMBL1873475,1,Liver Diseases,D008107
443,neoplasm,CHEMBL1873475,1,Neoplasms,D009369
448,schizophrenia,CHEMBL14376,4,Schizophrenia,D012559
449,pulmonary arterial hypertension,CHEMBL494,3,"Hypertension, Pulmonary",D006976
455,actinic keratosis,CHEMBL1282,4,"Keratosis, Actinic",D055623
456,basal cell carcinoma,CHEMBL1282,3,"Carcinoma, Basal Cell",D002280
459,hypertension,CHEMBL406,4,Hypertension,D006973
460,gout,CHEMBL6,3,Gout,D006073
461,pancreatitis,CHEMBL6,3,Pancreatitis,D010195
462,premature birth,CHEMBL6,3,Premature Birth,D047928
493,atrial fibrillation,CHEMBL1513,3,Atrial Fibrillation,D001281
494,hypertension,CHEMBL1513,4,Hypertension,D006973
495,Parkinson's disease,CHEMBL1648,3,Parkinson Disease,D010300
496,Cystic fibrosis,CHEMBL2010601,4,Cystic Fibrosis,D003550
497,breast carcinoma,CHEMBL1201752,4,Breast Neoplasms,D001943
498,Myalgia,CHEMBL571,4,Myalgia,D063806
501,bipolar disorder,CHEMBL741,4,Bipolar Disorder,D001714
502,epilepsy,CHEMBL741,4,Epilepsy,D004827
503,Fish-eye disease,CHEMBL741,1,Lecithin Cholesterol Acyltransferase Deficiency,D007863
504,gastroesophageal reflux disease,CHEMBL480,4,Gastroesophageal Reflux,D005764
506,glaucoma,CHEMBL1051,4,Glaucoma,D005901
508,breast carcinoma,CHEMBL1444,4,Breast Neoplasms,D001943
509,infertility,CHEMBL1444,3,Infertility,D007246
510,Lymphangioleiomyomatosis,CHEMBL1444,2,Lymphangioleiomyomatosis,D018192
514,Parkinson's disease,CHEMBL1009,4,Parkinson Disease,D010300
516,"osteoarthritis, knee",CHEMBL79,2,"Osteoarthritis, Knee",D020370
517,pain,CHEMBL79,4,Pain,D010146
518,peripheral neuropathy,CHEMBL79,3,Peripheral Nervous System Diseases,D010523
519,irritable bowel syndrome,CHEMBL3301675,4,Irritable Bowel Syndrome,D043183
520,type II diabetes mellitus,CHEMBL237500,4,"Diabetes Mellitus, Type 2",D003924
530,anxiety,CHEMBL580,4,Anxiety,D001007
534,chronic obstructive pulmonary disease,CHEMBL503,2,"Pulmonary Disease, Chronic Obstructive",D029424
535,irritable bowel syndrome,CHEMBL1201134,4,Irritable Bowel Syndrome,D043183
537,pulmonary arterial hypertension,CHEMBL2103873,3,"Hypertension, Pulmonary",D006976
538,HIV infection,CHEMBL1201187,4,HIV Infections,D015658
539,HIV-1 infection,CHEMBL1201187,4,HIV Infections,D015658
540,chronic obstructive pulmonary disease,CHEMBL1201139,2,"Pulmonary Disease, Chronic Obstructive",D029424
541,osteoarthritis,CHEMBL599,4,Osteoarthritis,D010003
544,colitis,CHEMBL704,2,Colitis,D003092
545,Crohn's disease,CHEMBL704,3,Crohn Disease,D003424
546,proctitis,CHEMBL704,3,Proctitis,D011349
547,ulcerative colitis,CHEMBL704,4,"Colitis, Ulcerative",D003093
551,Crohn's disease,CHEMBL34259,3,Crohn Disease,D003424
552,rheumatoid arthritis,CHEMBL34259,4,"Arthritis, Rheumatoid",D001172
553,ulcerative colitis,CHEMBL34259,2,"Colitis, Ulcerative",D003093
555,attention deficit hyperactivity disorder,CHEMBL796,4,Attention Deficit Disorder with Hyperactivity,D001289
557,bipolar disorder,CHEMBL796,3,Bipolar Disorder,D001714
558,cancer,CHEMBL796,1,Neoplasms,D009369
559,asthma,CHEMBL650,4,Asthma,D001249
560,relapsing-remitting multiple sclerosis,CHEMBL650,3,"Multiple Sclerosis, Relapsing-Remitting",D020529
563,cocaine dependence,CHEMBL1276308,2,Cocaine-Related Disorders,D019970
565,Alopecia,CHEMBL802,3,Alopecia,D000505
566,androgenetic alopecia,CHEMBL802,3,Alopecia,D000505
567,heart failure,CHEMBL2095212,2,Heart Failure,D006333
568,unipolar depression,CHEMBL654,4,Depressive Disorder,D003866
569,hemorrhage,CHEMBL606,4,Hemorrhage,D006470
570,attention deficit hyperactivity disorder,CHEMBL1373,4,Attention Deficit Disorder with Hyperactivity,D001289
571,cocaine dependence,CHEMBL1373,3,Cocaine-Related Disorders,D019970
572,methamphetamine dependence,CHEMBL1373,2,Amphetamine-Related Disorders,D019969
573,schizophrenia,CHEMBL1373,2,Schizophrenia,D012559
574,allergic rhinitis,CHEMBL1161,4,"Rhinitis, Allergic, Seasonal",D006255
575,asthma,CHEMBL1161,4,Asthma,D001249
576,hypertrophy,CHEMBL1161,3,Hypertrophy,D006984
577,Airway obstruction,CHEMBL1161,4,"Lung Diseases, Obstructive",D008173
578,seasonal allergic rhinitis,CHEMBL1161,4,"Rhinitis, Allergic, Seasonal",D006255
583,asthma,CHEMBL649,2,Asthma,D001249
585,alcohol dependence,CHEMBL19019,4,Alcoholism,D000437
586,gambling behaviour,CHEMBL19019,3,Gambling,D005715
587,opioid dependence,CHEMBL19019,3,Opioid-Related Disorders,D009293
589,osteoarthritis,CHEMBL154,4,Osteoarthritis,D010003
590,pain,CHEMBL154,4,Pain,D010146
595,type II diabetes mellitus,CHEMBL783,4,"Diabetes Mellitus, Type 2",D003924
598,nicotine dependence,CHEMBL3,4,Tobacco Use Disorder,D014029
599,smoking cessation,CHEMBL3,3,Smoking Cessation,D016540
600,premature birth,CHEMBL193,3,Premature Birth,D047928
601,infertility,CHEMBL1428,2,Infertility,D007246
605,pain,CHEMBL730,4,Pain,D010146
606,stroke,CHEMBL730,3,Stroke,D020521
614,bipolar disorder,CHEMBL715,4,Bipolar Disorder,D001714
615,eating disorder,CHEMBL715,3,Feeding and Eating Disorders,D001068
616,Huntington disease,CHEMBL715,3,Huntington Disease,D006816
617,schizophrenia,CHEMBL715,4,Schizophrenia,D012559
618,hypertension,CHEMBL1200692,4,Hypertension,D006973
623,erectile dysfunction,CHEMBL1503,1,Erectile Dysfunction,D007172
624,gastroesophageal reflux disease,CHEMBL1503,4,Gastroesophageal Reflux,D005764
625,Fish-eye disease,CHEMBL46,1,Lecithin Cholesterol Acyltransferase Deficiency,D007863
626,Nausea,CHEMBL46,4,Nausea,D009325
627,obsessive-compulsive disorder,CHEMBL46,2,Obsessive-Compulsive Disorder,D009771
629,post operative nausea and vomiting,CHEMBL46,4,Postoperative Nausea and Vomiting,D020250
630,polycystic ovary syndrome,CHEMBL175247,2,Polycystic Ovary Syndrome,D011085
631,anxiety,CHEMBL568,4,Anxiety,D001007
632,epilepsy,CHEMBL1068,4,Epilepsy,D004827
633,Seizure,CHEMBL1068,2,Seizures,D012640
634,eating disorder,CHEMBL1200682,2,Feeding and Eating Disorders,D001068
635,fibromyalgia,CHEMBL1200682,3,Fibromyalgia,D005356
644,breast carcinoma,CHEMBL428647,4,Breast Neoplasms,D001943
645,gastric adenocarcinoma,CHEMBL428647,3,Stomach Neoplasms,D013274
646,gastric carcinoma,CHEMBL428647,3,Stomach Neoplasms,D013274
647,melanoma,CHEMBL428647,3,Melanoma,D008545
648,metastatic melanoma,CHEMBL428647,3,Melanoma,D008545
649,non-small cell lung carcinoma,CHEMBL428647,4,"Carcinoma, Non-Small-Cell Lung",D002289
650,bipolar disorder,CHEMBL1621,3,Bipolar Disorder,D001714
651,schizophrenia,CHEMBL1621,4,Schizophrenia,D012559
652,schizophrenia,CHEMBL2107360,4,Schizophrenia,D012559
664,chronic kidney disease,CHEMBL628,3,"Renal Insufficiency, Chronic",D051436
665,epilepsy,CHEMBL1214124,4,Epilepsy,D004827
666,Parkinson's disease,CHEMBL1214124,3,Parkinson Disease,D010300
667,Seizure,CHEMBL1214124,3,Seizures,D012640
668,obesity,CHEMBL1574,4,Obesity,D009765
670,epilepsy,CHEMBL16,4,Epilepsy,D004827
671,atopic eczema,CHEMBL1200686,4,"Dermatitis, Atopic",D003876
674,"osteoarthritis, knee",CHEMBL527,2,"Osteoarthritis, Knee",D020370
675,acute graft vs. host disease,CHEMBL18442,1,Graft vs Host Disease,D006086
677,asthma,CHEMBL131,4,Asthma,D001249
678,eye inflammation,CHEMBL131,4,Eye Diseases,D005128
679,Nasal obstruction,CHEMBL131,4,Nasal Obstruction,D015508
680,nephrotic syndrome,CHEMBL131,4,Nephrotic Syndrome,D009404
681,rheumatoid arthritis,CHEMBL131,4,"Arthritis, Rheumatoid",D001172
682,cataract,CHEMBL1152,3,Cataract,D002386
683,asthma,CHEMBL635,4,Asthma,D001249
684,Hemophilia A,CHEMBL635,2,Hemophilia A,D006467
685,Nasal Cavity Polyp,CHEMBL635,3,Nasal Polyps,D009298
686,pulmonary sarcoidosis,CHEMBL635,3,"Sarcoidosis, Pulmonary",D017565
687,rheumatoid arthritis,CHEMBL635,4,"Arthritis, Rheumatoid",D001172
688,Sciatica,CHEMBL635,3,Sciatica,D012585
689,Granulomatosis with Polyangiitis,CHEMBL635,3,Granulomatosis with Polyangiitis,D014890
690,fibromyalgia,CHEMBL1059,4,Fibromyalgia,D005356
691,neuropathy,CHEMBL1059,3,Peripheral Nervous System Diseases,D010523
692,pain,CHEMBL1059,3,Pain,D010146
693,partial epilepsy,CHEMBL1059,3,"Epilepsies, Partial",D004828
694,restless legs syndrome,CHEMBL1059,3,Restless Legs Syndrome,D012148
695,Seizure,CHEMBL1059,4,Seizures,D012640
696,infertility,CHEMBL103,3,Infertility,D007246
697,premature birth,CHEMBL103,3,Premature Birth,D047928
699,leukemia,CHEMBL526,2,Leukemia,D007938
703,insomnia,CHEMBL1218,4,Sleep Initiation and Maintenance Disorders,D007319
704,atrial fibrillation,CHEMBL1168,3,Atrial Fibrillation,D001281
