,name,pubchem_cid,chembl_id,countries,toxicity_type,molecule_type,structure_type,therapeutic_flag,molecule_chembl_id,max_phase,atc_classifications,chirality,prodrug,oral,parenteral,topical,black_box_warning,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,smiles,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,chembl_tox,withdrawn_withdrawn
10,Rosiglitazone,CID77999,CHEMBL121,EU,toxic_cardio,Small molecule,MOL,True,CHEMBL121,4,A10BG02,0,0,True,False,False,1,1,2010,Increased risk of ischaemic heart disease,European Union,Cardiotoxicity,2.49,2,2.21,2.45,6.84,6.23,357.44,6,6,1,1,25,NEUTRAL,357.44,357.1147,0,0,71.53,0.82,N,7,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,YASAKCUCGLMORW-UHFFFAOYSA-N,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,missing,missing,missing,missing,missing,toxic_cardio,1
11,Sibutramine,CID5210,CHEMBL1419,Worldwide,toxic_cardio,Small molecule,MOL,True,CHEMBL1419,4,A08AA10,0,0,True,False,False,0,-2,2010,cardiovascular; increased risk of heart attack and stroke,Canada; China; European Union; Hong Kong; India; New Zealand; United States,Cardiotoxicity; Neurotoxicity,4.74,1,2.86,5.20,,9.77,279.86,1,1,0,0,19,BASE,279.86,279.1754,0,0,3.24,0.75,N,5,CHEMBL1419,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,UNAANXDKBXWMLN-UHFFFAOYSA-N,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,missing,missing,missing,missing,missing,Safe,1
12,Bufexamac,CID2466,CHEMBL94394,EU,toxic_systemic,Small molecule,MOL,True,CHEMBL94394,4,M01AB17+M02AA09,2,0,False,False,False,0,-1,,,,,1.91,1,1.95,1.97,8.86,,223.27,3,4,2,2,16,NEUTRAL,223.27,223.1208,0,0,58.56,0.44,N,6,CHEMBL94394,CCCCOc1ccc(CC(=O)NO)cc1,MXJWRABVEGLYDG-UHFFFAOYSA-N,CCCCOc1ccc(CC(=O)NO)cc1,missing,missing,missing,missing,missing,Safe,1
13,Propoxyphene,CID10100,CHEMBL1213351,Worldwide,toxic_cardio,Small molecule,MOL,True,CHEMBL1213351,4,N02AC04,1,0,True,False,False,1,-2,2014,Serious toxicity to the heart,United States,Cardiotoxicity,4.28,2,2.80,4.90,,9.52,339.48,3,3,0,0,25,BASE,339.48,339.2198,0,0,29.54,0.67,N,8,CHEMBL1213351,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,XLMALTXPSGQGBX-GCJKJVERSA-N,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,missing,missing,missing,missing,missing,Safe,1
14,Orciprenaline,CID4086,CHEMBL776,GBR,toxic_cardio,Small molecule,MOL,True,CHEMBL776,4,R03AB03+R03CB03,0,0,True,False,True,0,1,,,,,1.13,1,-0.94,0.21,8.84,9.70,211.26,4,4,4,4,15,BASE,211.26,211.1208,0,0,72.72,0.60,N,4,CHEMBL776,CC(C)NCC(O)c1cc(O)cc(O)c1,LMOINURANNBYCM-UHFFFAOYSA-N,CC(C)NCC(O)c1cc(O)cc(O)c1,missing,missing,missing,missing,missing,Safe,1
15,Benfluorex,CID2318,CHEMBL400599,EU,toxic_cardio,Small molecule,MOL,False,CHEMBL400599,4,A10BX06,0,0,False,False,False,0,-2,2009,Cardiac valvulopathy; Pulmonary arterial hypertension,European Union,Cardiotoxicity; Respiratory toxicity,4.08,2,3.18,4.92,,9.14,351.37,3,3,1,1,25,BASE,351.37,351.1446,0,0,38.33,0.60,N,7,CHEMBL400599,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,missing,missing,missing,missing,missing,Safe,1
16,Rimonabant,CID104850,CHEMBL111,Worldwide,toxic_neuro,Small molecule,MOL,True,CHEMBL111,4,A08AX01,2,0,False,False,False,0,-2,2008,"Psychiatric effects, especially depression",European Union; Never approved in the United States,Psychiatric toxicity,5.94,3,5.91,5.91,10.80,1.68,463.80,4,5,1,1,30,NEUTRAL,463.80,462.0781,1,1,50.16,0.52,N,4,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,JZCPYUJPEARBJL-UHFFFAOYSA-N,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,missing,missing,missing,missing,missing,Safe,1
17,Lumiracoxib,CID151166,CHEMBL404108,Worldwide,toxic_hepa,Small molecule,MOL,True,CHEMBL404108,4,M01AH06,2,0,False,False,False,0,-2,2007,Liver injury,European Union,Hepatotoxicity,4.16,2,1.22,4.31,4.11,,293.73,2,3,2,2,20,ACID,293.73,293.0619,0,0,49.33,0.89,N,4,CHEMBL404108,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,KHPKQFYUPIUARC-UHFFFAOYSA-N,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,missing,missing,missing,missing,missing,Safe,1
18,Tegaserod,CID5362436,CHEMBL76370,USA,toxic_cardio,Small molecule,MOL,True,CHEMBL76370,4,A06AX06,2,0,True,False,False,0,-2,2007,"Risk for heart attack, stroke, and unstable angina",United States,Cardiotoxicity; Neurotoxicity,2.81,2,1.84,2.95,,8.50,301.39,3,6,4,4,22,BASE,301.39,301.1903,0,0,85.29,0.27,N,7,CHEMBL76370,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,IKBKZGMPCYNSLU-RGVLZGJSSA-N,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,missing,missing,missing,missing,missing,Safe,1
19,Pergolide,CID47811,CHEMBL531,USA,toxic_cardio,Small molecule,MOL,True,CHEMBL531,4,N04BC02,1,0,True,False,False,0,-2,2007,Risk for heart valve damage,United States,Cardiotoxicity,4.27,2,2.15,4.23,,9.49,314.50,2,2,1,1,22,BASE,314.50,314.1817,0,0,19.03,0.91,N,4,CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,YEHCICAEULNIGD-MZMPZRCHSA-N,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,missing,missing,missing,missing,missing,Safe,1
