,chembl_id,synonyms,max_phase,atc_codes,level_4_atc,level_3_atc,level_2_atc,levle_1_atc,drug_type,passes_ro5,chirality,prodrug,oral,parenteral,topical,black_box,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,indication_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,inchi_key,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,pubchem_cid,withdrawn_chembl
82,CHEMBL306043,AUROTHIOMALATE DISODIUM|GOLD SODIUM THIOMALATE|MYOCRISIN|Myochrysine|SODIUM AUROTHIOMALATE,4,M01CB01,M01CB - Gold preparations,M01C - SPECIFIC ANTIRHEUMATIC AGENTS,M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M - MUSCULO-SKELETAL SYSTEM,1:Synthetic Small Molecule,False,Racemic Mixture,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,,,,,,,346.11,,,,,,,346.11,345.9574,,,,,,,CHEMBL306043,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
86,CHEMBL1201441,COLIFIN 1 MIU|COLIFIN 2 MIU|COLISTIMETHATE SODIUM|COLOBREATHE|COLY-MYCIN M|Colistimethate sodium|Coly-mycin|PROMIXIN|W 1929,4,,,,,,7:Natural Product-derived,False,Single Stereoisomer,False,False,True,False,False,Prescription Only,None,None,None,None,,Small molecule,NONE,True,Antibacterial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL1201441,missing,missing,missing,Safe,INHIBITOR,True,True,True,CHEMBL2364031,missing,0
87,CHEMBL1201467,"CE-10|ENJUVIA|ESTROGENS, CONJUGATED SYNTHETIC B|Estrogens, conjugated synthetic b|SYNTHETIC CONJUGATED ESTROGENS, B",4,,,,,,1:Synthetic Small Molecule,False,Single Stereoisomer,False,True,False,False,True,Prescription Only,None,None,None,None,,Small molecule,NONE,True,,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL1201467,missing,missing,missing,Safe,AGONIST,True,True,True,CHEMBL2093866,missing,0
90,CHEMBL1201469,GRAMICIDIN|GRAMICIDINS|Gramoderm,4,R02AB30,R02AB - Antibiotics,R02A - THROAT PREPARATIONS,R02 - THROAT PREPARATIONS,R - RESPIRATORY SYSTEM,7:Natural Product-derived,False,Single Stereoisomer,False,False,False,True,False,Prescription Only,None,None,None,None,,Small molecule,NONE,True,Antibacterial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL1201469,missing,missing,missing,Safe,INHIBITOR,True,True,True,CHEMBL2364031,missing,0
92,CHEMBL1201485,GLYCINE MAX SEED OIL|Intralipid|LIPOSYN III|Nutrilipid|SOYACAL|SOYBEAN OIL|TRAVAMULSION,4,,,,,,7:Natural Product-derived,False,Single Stereoisomer,False,False,True,False,True,Prescription Only,None,None,None,None,,Small molecule,NONE,False,Pharmaceutic Necessity,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL1201485,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
94,CHEMBL1200823,FERRIC HYDROXIDE SUCROSE COMPLEX|IRON OXIDE SACCHARATED|IRON SACCHARATE|IRON SUCROSE|IRON SUCROSE COMPLEX|IRON SUGAR|IRON(III) HYDROXIDE SUCROSE COMPLEX|SACCHARATED FERRIC OXIDE|SACCHARATED IRON|SACCHARATED IRON OXIDE|Venofer|XI-921,4,B03AB02,"B03AB - Iron trivalent, oral preparations",B03A - IRON PREPARATIONS,B03 - ANTIANEMIC PREPARATIONS,B - BLOOD AND BLOOD FORMING ORGANS,7:Natural Product-derived,False,Unknown,False,False,True,False,False,Prescription Only,None,None,None,None,,Small molecule,NONE,False,,,,,,,,398.14,,,,,,,398.14,398.0511,,,,,,,CHEMBL1200823,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
96,CHEMBL1200457,GADOVERSETAMIDE|MP-1177|Optimark,4,V08CA06,V08CA - Paramagnetic contrast media,V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08 - CONTRAST MEDIA,V - VARIOUS,1:Synthetic Small Molecule,False,Unknown,False,False,True,False,True,Prescription Only,None,None,None,None,,Small molecule,NONE,False,"Diagnostic Aid (paramagnetic, brain disorders, spine disorders)",,,,,,,661.77,,,,,,,661.77,662.1547,,,,,,,CHEMBL1200457,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
106,CHEMBL2108558,B2056|CALIFIG|MANEVAC|SENNA|SENNA ALEXANDRINA|SENNA ALEXANDRINA DRY LEAF|SENNA ALEXANDRINA LEAF|SENNA ALEXANDRINA LEAF DRY EXTRACT|SENNA ALEXANDRINA LEAF EXTRACT|SENNA ALEXANDRINA LEAF POWDER|SENNA EXTRACT|SENNA GLYCOSIDES|SENNA LEAF|SENNOSIDE B|SENOKOT MAX STRGH|SURE-LAX|Senokot|X-PREP,4,A06AB56 | A06AB06,A06AB - Contact laxatives | A06AB - Contact laxatives,A06A - DRUGS FOR CONSTIPATION | A06A - DRUGS FOR CONSTIPATION,A06 - DRUGS FOR CONSTIPATION | A06 - DRUGS FOR CONSTIPATION,A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM,7:Natural Product-derived,False,Single Stereoisomer,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,False,Laxative,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL2108558,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
128,CHEMBL2103737,Alpharedisol|COBALIN-H|CYANOKIT|HEPAVIT|HYDROXOCOBALAMIN|HYDROXOCOBALAMIN ACETATE|HYDROXOCOBEMINE|HYDROXOMIN|MEGAMILBEDOCE|NEO-CYTAMEN,4,B03BA03 | B03BA53 | V03AB33,B03BA - Vitamin B12 (cyanocobalamin and analogues) | B03BA - Vitamin B12 (cyanocobalamin and analogues) | V03AB - Antidotes,B03B - VITAMIN B12 AND FOLIC ACID | B03B - VITAMIN B12 AND FOLIC ACID | V03A - ALL OTHER THERAPEUTIC PRODUCTS,B03 - ANTIANEMIC PREPARATIONS | B03 - ANTIANEMIC PREPARATIONS | V03 - ALL OTHER THERAPEUTIC PRODUCTS,B - BLOOD AND BLOOD FORMING ORGANS | B - BLOOD AND BLOOD FORMING ORGANS | V - VARIOUS,7:Natural Product-derived,False,Racemic Mixture,False,False,True,False,False,Prescription Only,None,None,None,None,,Small molecule,NONE,False,Vitamin (hematopoietic),,,,,,,1346.38,,,,,,,1346.38,1345.5671,,,,,,,CHEMBL2103737,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
145,CHEMBL2108834,BELLAD|BELLADONNA ROOT,4,,,,,,7:Natural Product-derived,False,Single Stereoisomer,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL2108834,missing,missing,missing,Safe,,True,True,True,,missing,0
147,CHEMBL2354773,AUREOTAN 100|AUROTHIOGLUCOSE|GOLD THIOGLUCOSE|Solganal,4,M01CB04,M01CB - Gold preparations,M01C - SPECIFIC ANTIRHEUMATIC AGENTS,M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M - MUSCULO-SKELETAL SYSTEM,7:Natural Product-derived,False,Racemic Mixture,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,,,,,,,392.18,,,,,,,392.18,391.9993,,,,,,,CHEMBL2354773,missing,missing,missing,Safe,INHIBITOR,True,True,True,CHEMBL1927,missing,0
210,CHEMBL2218860,BAY86-4875|GADAVIST|GADOBUTROL|ZK 135079|ZK-135079,4,V08CA09,V08CA - Paramagnetic contrast media,V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08 - CONTRAST MEDIA,V - VARIOUS,7:Natural Product-derived,False,Unknown,False,False,True,False,True,Prescription Only,None,None,None,None,,Small molecule,NONE,False,,,,,,,,604.72,,,,,,,604.72,605.1332,,,,,,,CHEMBL2218860,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
214,CHEMBL508338,Ethylmercury sodium salt|Mercurothiolate|Merfamin|Merthiolate|Mertorgan|Merzonin|NSC-4794|Sodium ethylmercurithiosalicylate|THIMEROSAL|THIOMERSAL|Thiomersalate,4,D08AK06,D08AK - Mercurial products,D08A - ANTISEPTICS AND DISINFECTANTS,D08 - ANTISEPTICS AND DISINFECTANTS,D - DERMATOLOGICALS,1:Synthetic Small Molecule,False,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,,,,,,,404.82,,,,,,,404.82,405.9927,,,,,,,CHEMBL508338,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
250,CHEMBL2108247,CLOVE OIL|OLEUM CARYOPHYLII,4,,,,,,7:Natural Product-derived,False,Single Stereoisomer,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,Pharmaceutic Aid (flavor),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,CHEMBL2108247,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
252,CHEMBL1200346,GADODIAMIDE|GDDTPA-BMA|Omniscan|S-041,4,V08CA03,V08CA - Paramagnetic contrast media,V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08 - CONTRAST MEDIA,V - VARIOUS,1:Synthetic Small Molecule,False,Unknown,False,False,True,False,True,Prescription Only,None,None,None,None,,Small molecule,NONE,False,"Diagnostic Aid (paramagnetic, brain disorders, spine disorders)",,,,,,,573.66,,,,,,,573.66,574.1022,,,,,,,CHEMBL1200346,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
258,CHEMBL1742471,EBROTIDINE,4,,,,,,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Withdrawn,1998,Hepatotoxicity,Spain,Hepatotoxicity,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,Small molecule,MOL,False,,2.45,2,1.08,1.79,,8.02,477.44,6,8,4,5,26,NEUTRAL,477.44,475.9758,0,0,133.32,0.25,N,9,CHEMBL1742471,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,ZQHFZHPUZXNPMF-UHFFFAOYSA-N,ZQHFZHPUZXNPMF-UHFFFAOYSA-N,Safe,ANTAGONIST+INHIBITOR,True+True,True+True,True+True,CHEMBL1941+CHEMBL5325,missing,1
276,CHEMBL666,Dihydroxyphosphinecarboxylic Acid Oxide|FOSCARNET|Foscarnet|J05AD01,4,J05AD01,J05AD - Phosphonic acid derivatives,J05A - DIRECT ACTING ANTIVIRALS,J05 - ANTIVIRALS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,True,False,True,Prescription Only,None,None,None,None,O=C(O)P(=O)(O)O,Small molecule,MOL,True,Antiviral,-0.16,0,-7.58,-0.83,-0.10,,126.00,2,5,3,3,7,ACID,126.00,125.9718,0,0,94.83,0.42,N,1,CHEMBL666,O=C(O)P(=O)(O)O,ZJAOAACCNHFJAH-UHFFFAOYSA-N,ZJAOAACCNHFJAH-UHFFFAOYSA-N,toxic_nephro+toxic_neuro,missing,missing,missing,missing,missing,missing,0
280,CHEMBL1580,CI-825|NSC-218321|Nipent|PD 81565|PD-81565|PENTOSTATIN|YK-176,4,L01XX08,L01XX - Other antineoplastic agents,L01X - OTHER ANTINEOPLASTIC AGENTS,L01 - ANTINEOPLASTIC AGENTS,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1:Synthetic Small Molecule,True,Single Stereoisomer,False,False,True,False,True,Prescription Only,None,None,None,None,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,Small molecule,MOL,True,Potentiator,-1.18,1,-2.93,-2.02,13.06,8.33,268.27,8,8,4,4,19,NEUTRAL,268.27,268.1172,0,0,112.13,0.54,N,2,CHEMBL1580,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,FPVKHBSQESCIEP-JQCXWYLXSA-N,FPVKHBSQESCIEP-JQCXWYLXSA-N,Safe,INHIBITOR,True,True,True,CHEMBL1910,missing,0
281,CHEMBL606,Cytotec|MISOPROSTOL|MYSODELLE|SC-29333|TOPOGYNE,4,G02AD06 | A02BB01,G02AD - Prostaglandins | A02BB - Prostaglandins,G02A - UTEROTONICS | A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),G02 - OTHER GYNECOLOGICALS | A02 - DRUGS FOR ACID RELATED DISORDERS,G - GENITO URINARY SYSTEM AND SEX HORMONES | A - ALIMENTARY TRACT AND METABOLISM,7:Natural Product-derived,True,Racemic Mixture,True,True,False,False,True,Prescription Only,None,None,None,None,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,Small molecule,MOL,True,Anti-Ulcerative,3.95,0,3.86,3.86,,,382.54,5,5,2,2,27,NEUTRAL,382.54,382.2719,0,0,83.83,0.29,N,13,CHEMBL606,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,OJLOPKGSLYJEMD-URPKTTJQSA-N,OJLOPKGSLYJEMD-URPKTTJQSA-N,toxic_teratogen,AGONIST,True,True,True,CHEMBL3710,missing,0
284,CHEMBL3833364,HYDRARGAPHEN|PENOTRANE,4,,,,,,1:Synthetic Small Molecule,False,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,,,,,,,981.86,,,,,,,981.86,984.0427,,,,,,,CHEMBL3833364,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
285,CHEMBL3833381,MERBROMIN|MERCUROCHROME,4,D08AK04,D08AK - Mercurial products,D08A - ANTISEPTICS AND DISINFECTANTS,D08 - ANTISEPTICS AND DISINFECTANTS,D - DERMATOLOGICALS,1:Synthetic Small Molecule,False,Unknown,False,False,False,False,False,Unknown,None,None,None,None,,Small molecule,NONE,True,,,,,,,,750.66,,,,,,,750.66,749.8189,,,,,,,CHEMBL3833381,missing,missing,missing,Safe,missing,missing,missing,missing,missing,missing,0
303,CHEMBL110,BENZNIDAZOLE|NSC-299972|RO 07-1051|RO-07-1051|RO-7-1051,4,P01CA02,P01CA - Nitroimidazole derivatives,P01C - AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01 - ANTIPROTOZOALS,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,Small molecule,MOL,True,,1.11,2,1.32,1.32,13.68,0.20,260.25,5,7,1,1,19,NEUTRAL,260.25,260.0909,0,0,90.06,0.64,N,5,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,CULUWZNBISUWAS-UHFFFAOYSA-N,Safe,,True,True,True,,missing,0
307,CHEMBL1741,A-56268|ABBOTT-56268|BIAXIN XL|Biaxin|Biaxin XL Pac|CLARIE XL|CLARITHROMYCIN|CLARITHROMYCIN IDENTITY|CLAROSIP|Clarithromycin extended release|FEBZIN XL|KLARICID|KLARICID 500|KLARICID ADULT|KLARICID I.V.|KLARICID PAED|KLARICID XL|MYCIFOR XL|Prevpac|TE-031|XETININ XL|ZECLAR,4,J01FA09,J01FA - Macrolides,"J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01 - ANTIBACTERIALS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,7:Natural Product-derived,False,Single Stereoisomer,False,True,False,False,False,Prescription Only,None,None,None,None,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Small molecule,MOL,True,Antibacterial,2.44,0,2.22,3.24,12.46,8.38,747.96,14,14,4,4,52,NEUTRAL,747.96,747.4769,2,2,182.91,0.27,N,8,CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,AGOYDEPGAOXOCK-KCBOHYOISA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,Safe,INHIBITOR,True,True,True,CHEMBL2363135,missing,0
308,CHEMBL473159,NSC-1572|PHLOROGLUCINOL|Phloroglucinol|SPASFON|SPASFON-LYOC,4,A03AX12,A03AX - Other drugs for functional gastrointestinal disorders,A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,Oc1cc(O)cc(O)c1,Small molecule,MOL,True,,0.80,1,1.05,1.06,9.13,,126.11,3,3,3,3,9,NEUTRAL,126.11,126.0317,0,0,60.69,0.48,N,0,CHEMBL473159,Oc1cc(O)cc(O)c1,QCDYQQDYXPDABM-UHFFFAOYSA-N,QCDYQQDYXPDABM-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
310,CHEMBL485,CODEINE|CODEINE MONOHYDRATE|Codeine|IDS-NC-005(SECT.-2),4,R05DA04 | N02AA59 | N02AA79,R05DA - Opium alkaloids and derivatives | N02AA - Natural opium alkaloids | N02AA - Natural opium alkaloids,"R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS | N02A - OPIOIDS | N02A - OPIOIDS",R05 - COUGH AND COLD PREPARATIONS | N02 - ANALGESICS | N02 - ANALGESICS,R - RESPIRATORY SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM,7:Natural Product-derived,True,Single Stereoisomer,False,True,False,False,True,Prescription Only,None,None,None,None,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Small molecule,MOL,True,"Analgesic (narcotic); Antitussive,Antitussive,Antitussive; Analgesic (narcotic)",1.50,1,-0.45,1.34,13.78,9.19,299.37,4,4,1,1,22,BASE,299.37,299.1521,0,0,41.93,0.80,N,1,CHEMBL485,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,OROGSEYTTFOCAN-DNJOTXNNSA-N,OROGSEYTTFOCAN-DNJOTXNNSA-N,Safe,missing,missing,missing,missing,missing,missing,0
314,CHEMBL107,COLCHICINE|COLCRYS|Colchicine|GLOPERBA|MITIGARE|NSC-757,4,M04AC01,M04AC - Preparations with no effect on uric acid metabolism,M04A - ANTIGOUT PREPARATIONS,M04 - ANTIGOUT PREPARATIONS,M - MUSCULO-SKELETAL SYSTEM,1:Synthetic Small Molecule,True,Single Stereoisomer,False,True,False,False,False,Prescription Only,None,None,None,None,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Small molecule,MOL,True,Suppressant (gout),2.87,2,1.46,1.46,,,399.44,6,7,1,1,29,NEUTRAL,399.44,399.1682,0,0,83.09,0.83,N,5,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,IAKHMKGGTNLKSZ-INIZCTEOSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2095182,missing,0
