,chembl_id,max_phase,chirality,prodrug,oral,parenteral,topical,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,atc_classifications,black_box_warning,withdrawn_chembl,withdrawn_drugbank,withdrawn_withdrawn,withdrawn_tox,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
302,CHEMBL3621988,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,Small molecule,MOL,False,3.38,3.0,2.46,2.47,,4.84,390.42,4.0,6.0,3.0,4.0,29.0,NEUTRAL,390.42,390.1492,0.0,0.0,97.11,0.44,N,6.0,CHEMBL3621988,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,SZMJVTADHFNAIS-BJMVGYQFSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,CC1CCC(CC(C)C2CCC(CCC(C)CCC3CCCCC3)CC2)C(C)C1
303,CHEMBL110,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,Small molecule,MOL,True,1.11,2.0,1.32,1.32,13.68,0.2,260.25,5.0,7.0,1.0,1.0,19.0,NEUTRAL,260.25,260.0909,0.0,0.0,90.06,0.64,N,5.0,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CC(CCC1CCCCC1)CC1CCCC1C(C)C
307,CHEMBL1741,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Small molecule,MOL,True,2.44,0.0,2.22,3.24,12.46,8.38,747.96,14.0,14.0,4.0,4.0,52.0,NEUTRAL,747.96,747.4769,2.0,2.0,182.91,0.27,N,8.0,CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,AGOYDEPGAOXOCK-KCBOHYOISA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CCC1CC(C)C(C)C(CC2CC(C)C(C)C(C)(CC)C2)C(C)C(CC2CC(C)CC(C(C)C)C2C)C(C)(CC)CC(C)C(C)C(C)C(C)C1(C)C
308,CHEMBL473159,4.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Oc1cc(O)cc(O)c1,Small molecule,MOL,True,0.8,1.0,1.05,1.06,9.13,,126.11,3.0,3.0,3.0,3.0,9.0,NEUTRAL,126.11,126.0317,0.0,0.0,60.69,0.48,N,0.0,CHEMBL473159,Oc1cc(O)cc(O)c1,QCDYQQDYXPDABM-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,Oc1cc(O)cc(O)c1,CC1CC(C)CC(C)C1
310,CHEMBL485,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Small molecule,MOL,True,1.5,1.0,-0.45,1.34,13.78,9.19,299.37,4.0,4.0,1.0,1.0,22.0,BASE,299.37,299.1521,0.0,0.0,41.93,0.8,N,1.0,CHEMBL485,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,OROGSEYTTFOCAN-DNJOTXNNSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,CCC1CCC2CC3C(C)CCC45C(CC1C24)C(C)CCC35
314,CHEMBL107,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Small molecule,MOL,True,2.87,2.0,1.46,1.46,,,399.44,6.0,7.0,1.0,1.0,29.0,NEUTRAL,399.44,399.1682,0.0,0.0,83.09,0.83,N,5.0,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CCC1CCC2C(CC1C)C(CC(C)C)CCC1CC(CC)C(CC)C(CC)C12
316,CHEMBL460287,4.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,C(COCCOCC1CO1)OCCOCC1CO1,Small molecule,MOL,True,-0.15,0.0,-0.33,-0.33,,,262.3,6.0,6.0,0.0,0.0,18.0,NEUTRAL,262.3,262.1416,0.0,0.0,61.98,0.34,N,13.0,CHEMBL460287,C(COCCOCC1CO1)OCCOCC1CO1,UMILHIMHKXVDGH-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,C(COCCOCC1CO1)OCCOCC1CO1,C(CCCCCCC1CC1)CCCCCC1CC1
319,CHEMBL1520,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,Small molecule,MOL,True,2.07,3.0,1.4,1.43,11.75,6.21,488.61,8.0,10.0,1.0,1.0,34.0,NEUTRAL,488.61,488.2206,0.0,0.0,112.9,0.52,N,8.0,CHEMBL1520,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,SECKRCOLJRRGGV-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,CCCC1CCC(C(C)(C)C2CCC(CC)CC2)CC1C1CC(C)C2C(C)CC(CCC)C2C1
321,CHEMBL288441,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,Small molecule,MOL,True,5.19,3.0,3.37,4.09,,8.03,530.46,8.0,8.0,1.0,1.0,36.0,NEUTRAL,530.46,529.1647,2.0,2.0,82.88,0.38,N,9.0,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,UBPYILGKFZZVDX-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CCC1CC(CC2C(CC)CCC3CC(CCCCC4CCC(C)CC4)C(CC)CC32)C(C)CC1C
322,CHEMBL295124,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,Small molecule,MOL,False,3.1,3.0,-1.28,-1.28,,,336.37,4.0,5.0,0.0,0.0,25.0,NEUTRAL,336.37,336.123,0.0,0.0,40.8,0.67,N,2.0,CHEMBL295124,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,CCC1CCC2CC3C(CCC4CC5CCCC5CC43)CC2C1CC
333,CHEMBL2107457,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,Small molecule,MOL,False,2.57,2.0,0.93,2.32,,8.77,358.44,5.0,6.0,1.0,1.0,26.0,BASE,358.44,358.1893,0.0,0.0,60.03,0.75,N,9.0,CHEMBL2107457,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,QQQIECGTIMUVDS-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,CCC1CCC(C(C)CCC2CCC(CCCC(C)C)CC2)CC1CC
334,CHEMBL480,4.0,Racemic Mixture,False,True,True,False,Over the Counter,None,None,None,None,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,Small molecule,MOL,True,3.52,3.0,3.03,3.03,9.35,4.16,369.37,4.0,5.0,1.0,1.0,25.0,NEUTRAL,369.37,369.0759,0.0,0.0,67.87,0.75,N,5.0,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,CC(CC1CCCC(CCC(C)(C)C)C1C)C1CC2CCCCC2C1
336,CHEMBL502,4.0,Racemic Mixture,False,True,False,False,Prescription Only,None,None,None,None,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Small molecule,MOL,True,4.36,2.0,3.04,4.21,,8.54,379.5,4.0,4.0,0.0,0.0,28.0,BASE,379.5,379.2147,0.0,0.0,38.77,0.75,N,6.0,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CCC1CC2CC(CC3CCC(CC4CCCCC4)CC3)C(C)C2CC1CC
338,CHEMBL1465,4.0,Racemic Mixture,False,True,False,False,Discontinued,None,None,None,None,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Small molecule,MOL,True,4.04,3.0,2.03,3.74,5.67,,280.32,3.0,3.0,1.0,1.0,21.0,ACID,280.32,280.1099,0.0,0.0,50.44,0.74,N,3.0,CHEMBL1465,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,DQDAYGNAKTZFIW-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CCC(C1CCCCC1)C1C(C)CC2CCCCC2C1C
339,CHEMBL32800,4.0,Racemic Mixture,False,False,False,False,Withdrawn,1990,Asthma Mortality,New Zealand,Respiratory toxicity,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,Small molecule,MOL,True,2.06,2.0,0.33,1.47,8.85,9.63,303.36,5.0,5.0,5.0,5.0,22.0,BASE,303.36,303.1471,0.0,0.0,92.95,0.56,N,6.0,CHEMBL32800,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,LSLYOANBFKQKPT-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,1.0,,,,0,1,0,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,CC1CCC(CC(C)CCC(C)C2CC(C)CC(C)C2)CC1
343,CHEMBL2095209,4.0,Achiral Molecule,True,True,False,False,Prescription Only,None,None,None,None,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Small molecule,MOL,True,6.47,0.0,6.73,6.73,,,330.51,2.0,2.0,0.0,0.0,24.0,,330.51,330.2559,1.0,1.0,26.3,0.21,N,14.0,CHEMBL2095209,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,SSQPWTVBQMWLSZ-AAQCHOMXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,CCCC(C)CCCCCCCCCCCCCCCCCCC
350,CHEMBL1152,4.0,Single Stereoisomer,True,True,True,True,Prescription Only,None,None,None,None,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Small molecule,MOL,True,2.13,0.0,1.71,1.71,12.61,,402.49,6.0,6.0,2.0,2.0,29.0,NEUTRAL,402.49,402.2042,0.0,0.0,100.9,0.7,N,3.0,CHEMBL1152,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,LRJOMUJRLNCICJ-JZYPGELDSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(C)CCC(C)C1(C)CCC2C3CCC4CC(C)CCC4(C)C3C(C)CC21C
351,CHEMBL444633,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,Small molecule,MOL,True,4.62,1.0,3.94,3.88,6.88,7.87,847.02,14.0,15.0,5.0,5.0,61.0,NEUTRAL,847.02,846.4415,2.0,2.0,205.55,0.26,N,4.0,CHEMBL444633,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,ATEBXHFBFRCZMA-VXTBVIBXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,CCC1CCCC2(C)CC3C(C)C(C)C4C(C)C(CC(C)C(C)CCCC(C)C(C)C(C)C(C)C(C)C(CC(C)C)C1C)C1CC5(CCC(CC(C)C)CC5)CC1C4C3C2C
374,CHEMBL1808388,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,Small molecule,MOL,False,2.0,2.0,2.17,2.17,12.57,,464.94,7.0,7.0,4.0,4.0,32.0,NEUTRAL,464.94,464.1602,0.0,0.0,108.61,0.42,N,9.0,CHEMBL1808388,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,BTCRKOKVYTVOLU-SJSRKZJXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CCC1CC(C2CCC(C)C(CC3CCC(CCCCC4CC4)CC3)C2)C(C)C(C)C1C
379,CHEMBL1621597,4.0,Racemic Mixture,False,False,False,True,Prescription Only,None,None,None,None,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,Small molecule,MOL,True,2.85,1.0,-1.82,-1.82,,,332.46,3.0,4.0,1.0,1.0,24.0,NEUTRAL,332.46,332.222,0.0,0.0,46.53,0.67,N,5.0,CHEMBL1621597,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,OEXHQOGQTVQTAT-BHIXFJMTSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,CCC(C(C)CC1CC2CCC(C1)C2(C)C(C)C)C1CCCCC1
