,chembl_id,max_phase,chirality,prodrug,oral,parenteral,topical,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,atc_classifications,black_box_warning,withdrawn_chembl,withdrawn_drugbank,withdrawn_withdrawn,withdrawn_tox,wd_consensus_1,wd_consensus_2,wd_consensus_3
302,CHEMBL3621988,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,Small molecule,MOL,False,3.38,3,2.46,2.47,,4.84,390.42,4,6,3,4,29,NEUTRAL,390.42,390.1492,0,0,97.11,0.44,N,6,CHEMBL3621988,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,SZMJVTADHFNAIS-BJMVGYQFSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
303,CHEMBL110,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,Small molecule,MOL,True,1.11,2,1.32,1.32,13.68,0.20,260.25,5,7,1,1,19,NEUTRAL,260.25,260.0909,0,0,90.06,0.64,N,5,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
307,CHEMBL1741,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Small molecule,MOL,True,2.44,0,2.22,3.24,12.46,8.38,747.96,14,14,4,4,52,NEUTRAL,747.96,747.4769,2,2,182.91,0.27,N,8,CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,AGOYDEPGAOXOCK-KCBOHYOISA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
308,CHEMBL473159,4.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Oc1cc(O)cc(O)c1,Small molecule,MOL,True,0.80,1,1.05,1.06,9.13,,126.11,3,3,3,3,9,NEUTRAL,126.11,126.0317,0,0,60.69,0.48,N,0,CHEMBL473159,Oc1cc(O)cc(O)c1,QCDYQQDYXPDABM-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
310,CHEMBL485,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Small molecule,MOL,True,1.50,1,-0.45,1.34,13.78,9.19,299.37,4,4,1,1,22,BASE,299.37,299.1521,0,0,41.93,0.80,N,1,CHEMBL485,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,OROGSEYTTFOCAN-DNJOTXNNSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
314,CHEMBL107,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Small molecule,MOL,True,2.87,2,1.46,1.46,,,399.44,6,7,1,1,29,NEUTRAL,399.44,399.1682,0,0,83.09,0.83,N,5,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
316,CHEMBL460287,4.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,C(COCCOCC1CO1)OCCOCC1CO1,Small molecule,MOL,True,-0.15,0,-0.33,-0.33,,,262.30,6,6,0,0,18,NEUTRAL,262.30,262.1416,0,0,61.98,0.34,N,13,CHEMBL460287,C(COCCOCC1CO1)OCCOCC1CO1,UMILHIMHKXVDGH-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
319,CHEMBL1520,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,Small molecule,MOL,True,2.07,3,1.40,1.43,11.75,6.21,488.61,8,10,1,1,34,NEUTRAL,488.61,488.2206,0,0,112.90,0.52,N,8,CHEMBL1520,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,SECKRCOLJRRGGV-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
321,CHEMBL288441,4.0,Achiral Molecule,False,True,False,False,Prescription Only,None,None,None,None,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,Small molecule,MOL,True,5.19,3,3.37,4.09,,8.03,530.46,8,8,1,1,36,NEUTRAL,530.46,529.1647,2,2,82.88,0.38,N,9,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,UBPYILGKFZZVDX-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
322,CHEMBL295124,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,Small molecule,MOL,False,3.10,3,-1.28,-1.28,,,336.37,4,5,0,0,25,NEUTRAL,336.37,336.1230,0,0,40.80,0.67,N,2,CHEMBL295124,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
333,CHEMBL2107457,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,Small molecule,MOL,False,2.57,2,0.93,2.32,,8.77,358.44,5,6,1,1,26,BASE,358.44,358.1893,0,0,60.03,0.75,N,9,CHEMBL2107457,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,QQQIECGTIMUVDS-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
334,CHEMBL480,4.0,Racemic Mixture,False,True,True,False,Over the Counter,None,None,None,None,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,Small molecule,MOL,True,3.52,3,3.03,3.03,9.35,4.16,369.37,4,5,1,1,25,NEUTRAL,369.37,369.0759,0,0,67.87,0.75,N,5,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
336,CHEMBL502,4.0,Racemic Mixture,False,True,False,False,Prescription Only,None,None,None,None,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Small molecule,MOL,True,4.36,2,3.04,4.21,,8.54,379.50,4,4,0,0,28,BASE,379.50,379.2147,0,0,38.77,0.75,N,6,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
338,CHEMBL1465,4.0,Racemic Mixture,False,True,False,False,Discontinued,None,None,None,None,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Small molecule,MOL,True,4.04,3,2.03,3.74,5.67,,280.32,3,3,1,1,21,ACID,280.32,280.1099,0,0,50.44,0.74,N,3,CHEMBL1465,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,DQDAYGNAKTZFIW-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
339,CHEMBL32800,4.0,Racemic Mixture,False,False,False,False,Withdrawn,1990,Asthma Mortality,New Zealand,Respiratory toxicity,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,Small molecule,MOL,True,2.06,2,0.33,1.47,8.85,9.63,303.36,5,5,5,5,22,BASE,303.36,303.1471,0,0,92.95,0.56,N,6,CHEMBL32800,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,LSLYOANBFKQKPT-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,1.0,,,,0,1,0
343,CHEMBL2095209,4.0,Achiral Molecule,True,True,False,False,Prescription Only,None,None,None,None,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Small molecule,MOL,True,6.47,0,6.73,6.73,,,330.51,2,2,0,0,24,,330.51,330.2559,1,1,26.30,0.21,N,14,CHEMBL2095209,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,SSQPWTVBQMWLSZ-AAQCHOMXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
350,CHEMBL1152,4.0,Single Stereoisomer,True,True,True,True,Prescription Only,None,None,None,None,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Small molecule,MOL,True,2.13,0,1.71,1.71,12.61,,402.49,6,6,2,2,29,NEUTRAL,402.49,402.2042,0,0,100.90,0.70,N,3,CHEMBL1152,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,LRJOMUJRLNCICJ-JZYPGELDSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
351,CHEMBL444633,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,Small molecule,MOL,True,4.62,1,3.94,3.88,6.88,7.87,847.02,14,15,5,5,61,NEUTRAL,847.02,846.4415,2,2,205.55,0.26,N,4,CHEMBL444633,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,ATEBXHFBFRCZMA-VXTBVIBXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
374,CHEMBL1808388,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,Small molecule,MOL,False,2.00,2,2.17,2.17,12.57,,464.94,7,7,4,4,32,NEUTRAL,464.94,464.1602,0,0,108.61,0.42,N,9,CHEMBL1808388,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,BTCRKOKVYTVOLU-SJSRKZJXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
379,CHEMBL1621597,4.0,Racemic Mixture,False,False,False,True,Prescription Only,None,None,None,None,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,Small molecule,MOL,True,2.85,1,-1.82,-1.82,,,332.46,3,4,1,1,24,NEUTRAL,332.46,332.2220,0,0,46.53,0.67,N,5,CHEMBL1621597,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,OEXHQOGQTVQTAT-BHIXFJMTSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
382,CHEMBL1650818,4.0,Single Stereoisomer,True,False,False,False,Unknown,None,None,None,None,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,Small molecule,MOL,True,2.41,0,2.28,2.91,13.66,7.91,439.58,7,8,0,0,30,NEUTRAL,439.58,439.2141,0,0,88.51,0.21,N,5,CHEMBL1650818,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,NPGNOVNWUSPMDP-UTEPHESZSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
390,CHEMBL416,4.0,Achiral Molecule,False,True,True,True,Prescription Only,None,None,None,None,COc1c2occc2cc2ccc(=O)oc12,Small molecule,MOL,True,2.55,3,1.78,1.78,,,216.19,4,4,0,0,16,NEUTRAL,216.19,216.0423,0,0,52.58,0.59,N,1,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,toxic_carcinogenic,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
394,CHEMBL1231700,3.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,Small molecule,MOL,False,-2.23,1,-7.45,-7.11,1.84,,488.33,13,15,4,5,31,ACID,488.33,488.1073,1,1,215.72,0.20,N,10,CHEMBL1231700,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
396,CHEMBL1604,4.0,Single Stereoisomer,False,True,True,False,Discontinued,None,None,None,None,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,Small molecule,MOL,True,0.35,0,-2.64,-2.45,3.27,7.60,349.41,5,7,3,4,24,ACID,349.41,349.1096,0,0,112.73,0.50,N,4,CHEMBL1604,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,RDLPVSKMFDYCOR-UEKVPHQBSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
399,CHEMBL1623992,4.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,Small molecule,MOL,True,3.85,2,3.32,4.27,,8.31,323.44,3,3,0,0,24,NEUTRAL,323.44,323.1885,0,0,29.54,0.78,N,5,CHEMBL1623992,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,KTHVBAZBLKXIHZ-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
402,CHEMBL137,4.0,Achiral Molecule,False,True,True,True,Prescription Only,None,None,None,None,Cc1ncc([N+](=O)[O-])n1CCO,Small molecule,MOL,True,0.09,1,-0.46,-0.46,,3.03,171.16,5,6,1,1,12,NEUTRAL,171.16,171.0644,0,0,81.19,0.52,N,3,CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,VAOCPAMSLUNLGC-UHFFFAOYSA-N,toxic_carcinogenic,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
404,CHEMBL447629,4.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,Small molecule,MOL,True,-0.78,0,-0.65,-0.65,12.63,,307.97,4,4,4,4,12,NEUTRAL,307.97,305.9102,0,0,80.92,0.50,N,5,CHEMBL447629,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,VFKZTMPDYBFSTM-KVTDHHQDSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
405,CHEMBL2105131,4.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Small molecule,MOL,True,1.18,1,0.92,0.94,8.68,,382.89,5,7,1,2,23,NEUTRAL,382.89,382.0424,0,0,106.77,0.82,N,5,CHEMBL2105131,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,SMNOERSLNYGGOU-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
406,CHEMBL2338329,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,Small molecule,MOL,False,2.86,3,-0.86,1.85,2.75,3.84,352.35,5,7,3,3,26,ACID,352.35,352.1059,0,0,108.75,0.65,N,5,CHEMBL2338329,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,YOZBGTLTNGAVFU-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
427,CHEMBL1144,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Small molecule,MOL,True,2.44,0,-1.38,1.65,4.21,,424.53,6,7,4,4,30,ACID,424.53,424.2461,0,0,124.29,0.40,N,10,CHEMBL1144,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,TUZYXOIXSAXUGO-PZAWKZKUSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
433,CHEMBL1075733,3.0,Racemic Mixture,False,False,False,False,Unknown,None,None,None,None,CCC(C)C(CC)C(N)=O,Small molecule,MOL,False,1.54,0,1.83,1.83,,,143.23,1,2,1,2,10,NEUTRAL,143.23,143.1310,0,0,43.09,0.64,N,4,CHEMBL1075733,CCC(C)C(CC)C(N)=O,QRCJOCOSPZMDJY-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
438,CHEMBL444172,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,Small molecule,MOL,False,5.21,4,4.39,4.82,,7.63,527.62,5,5,1,1,39,NEUTRAL,527.62,527.2384,2,2,48.83,0.37,N,6,CHEMBL444172,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,IHOVFYSQUDPMCN-DBEBIPAYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0
